Area_ID,Area_Name,City_ID,Zone_Type,Development_Score
1,Central Area,1,Suburban,8
2,North Area,1,Suburban,7
3,South Area,1,Suburban,8
4,East Area,1,Suburban,4
5,West Area,1,Suburban,6
6,Central Area,2,Central,4
7,North Area,2,Suburban,8
8,South Area,2,Central,8
9,East Area,2,Central,7
10,West Area,2,Suburban,6
11,Central Area,3,Central,7
12,North Area,3,Central,8
13,South Area,3,Suburban,9
14,East Area,3,Central,4
15,West Area,3,Suburban,9
16,Central Area,4,Central,7
17,North Area,4,Suburban,4
18,South Area,4,Central,4
19,East Area,4,Suburban,8
20,West Area,4,Central,5
21,Central Area,5,Suburban,7
22,North Area,5,Suburban,4
23,South Area,5,Suburban,4
24,East Area,5,Suburban,4
25,West Area,5,Central,9
26,Central Area,6,Central,8
27,North Area,6,Central,6
28,South Area,6,Suburban,7
29,East Area,6,Central,9
30,West Area,6,Suburban,8
31,Central Area,7,Suburban,4
32,North Area,7,Suburban,8
33,South Area,7,Suburban,5
34,East Area,7,Suburban,7
35,West Area,7,Suburban,5
36,Central Area,8,Suburban,7
37,North Area,8,Central,7
38,South Area,8,Suburban,7
39,East Area,8,Central,5
40,West Area,8,Suburban,5
