Date_ID,Date,Year,Quarter,Month,Month_No,YearMonth
1,01-01-2022,2022,2022Q1,January,1,2022-01
2,02-01-2022,2022,2022Q1,January,1,2022-01
3,03-01-2022,2022,2022Q1,January,1,2022-01
4,04-01-2022,2022,2022Q1,January,1,2022-01
5,05-01-2022,2022,2022Q1,January,1,2022-01
6,06-01-2022,2022,2022Q1,January,1,2022-01
7,07-01-2022,2022,2022Q1,January,1,2022-01
8,08-01-2022,2022,2022Q1,January,1,2022-01
9,09-01-2022,2022,2022Q1,January,1,2022-01
10,10-01-2022,2022,2022Q1,January,1,2022-01
11,11-01-2022,2022,2022Q1,January,1,2022-01
12,12-01-2022,2022,2022Q1,January,1,2022-01
13,13-01-2022,2022,2022Q1,January,1,2022-01
14,14-01-2022,2022,2022Q1,January,1,2022-01
15,15-01-2022,2022,2022Q1,January,1,2022-01
16,16-01-2022,2022,2022Q1,January,1,2022-01
17,17-01-2022,2022,2022Q1,January,1,2022-01
18,18-01-2022,2022,2022Q1,January,1,2022-01
19,19-01-2022,2022,2022Q1,January,1,2022-01
20,20-01-2022,2022,2022Q1,January,1,2022-01
21,21-01-2022,2022,2022Q1,January,1,2022-01
22,22-01-2022,2022,2022Q1,January,1,2022-01
23,23-01-2022,2022,2022Q1,January,1,2022-01
24,24-01-2022,2022,2022Q1,January,1,2022-01
25,25-01-2022,2022,2022Q1,January,1,2022-01
26,26-01-2022,2022,2022Q1,January,1,2022-01
27,27-01-2022,2022,2022Q1,January,1,2022-01
28,28-01-2022,2022,2022Q1,January,1,2022-01
29,29-01-2022,2022,2022Q1,January,1,2022-01
30,30-01-2022,2022,2022Q1,January,1,2022-01
31,31-01-2022,2022,2022Q1,January,1,2022-01
32,01-02-2022,2022,2022Q1,February,2,2022-02
33,02-02-2022,2022,2022Q1,February,2,2022-02
34,03-02-2022,2022,2022Q1,February,2,2022-02
35,04-02-2022,2022,2022Q1,February,2,2022-02
36,05-02-2022,2022,2022Q1,February,2,2022-02
37,06-02-2022,2022,2022Q1,February,2,2022-02
38,07-02-2022,2022,2022Q1,February,2,2022-02
39,08-02-2022,2022,2022Q1,February,2,2022-02
40,09-02-2022,2022,2022Q1,February,2,2022-02
41,10-02-2022,2022,2022Q1,February,2,2022-02
42,11-02-2022,2022,2022Q1,February,2,2022-02
43,12-02-2022,2022,2022Q1,February,2,2022-02
44,13-02-2022,2022,2022Q1,February,2,2022-02
45,14-02-2022,2022,2022Q1,February,2,2022-02
46,15-02-2022,2022,2022Q1,February,2,2022-02
47,16-02-2022,2022,2022Q1,February,2,2022-02
48,17-02-2022,2022,2022Q1,February,2,2022-02
49,18-02-2022,2022,2022Q1,February,2,2022-02
50,19-02-2022,2022,2022Q1,February,2,2022-02
51,20-02-2022,2022,2022Q1,February,2,2022-02
52,21-02-2022,2022,2022Q1,February,2,2022-02
53,22-02-2022,2022,2022Q1,February,2,2022-02
54,23-02-2022,2022,2022Q1,February,2,2022-02
55,24-02-2022,2022,2022Q1,February,2,2022-02
56,25-02-2022,2022,2022Q1,February,2,2022-02
57,26-02-2022,2022,2022Q1,February,2,2022-02
58,27-02-2022,2022,2022Q1,February,2,2022-02
59,28-02-2022,2022,2022Q1,February,2,2022-02
60,01-03-2022,2022,2022Q1,March,3,2022-03
61,02-03-2022,2022,2022Q1,March,3,2022-03
62,03-03-2022,2022,2022Q1,March,3,2022-03
63,04-03-2022,2022,2022Q1,March,3,2022-03
64,05-03-2022,2022,2022Q1,March,3,2022-03
65,06-03-2022,2022,2022Q1,March,3,2022-03
66,07-03-2022,2022,2022Q1,March,3,2022-03
67,08-03-2022,2022,2022Q1,March,3,2022-03
68,09-03-2022,2022,2022Q1,March,3,2022-03
69,10-03-2022,2022,2022Q1,March,3,2022-03
70,11-03-2022,2022,2022Q1,March,3,2022-03
71,12-03-2022,2022,2022Q1,March,3,2022-03
72,13-03-2022,2022,2022Q1,March,3,2022-03
73,14-03-2022,2022,2022Q1,March,3,2022-03
74,15-03-2022,2022,2022Q1,March,3,2022-03
75,16-03-2022,2022,2022Q1,March,3,2022-03
76,17-03-2022,2022,2022Q1,March,3,2022-03
77,18-03-2022,2022,2022Q1,March,3,2022-03
78,19-03-2022,2022,2022Q1,March,3,2022-03
79,20-03-2022,2022,2022Q1,March,3,2022-03
80,21-03-2022,2022,2022Q1,March,3,2022-03
81,22-03-2022,2022,2022Q1,March,3,2022-03
82,23-03-2022,2022,2022Q1,March,3,2022-03
83,24-03-2022,2022,2022Q1,March,3,2022-03
84,25-03-2022,2022,2022Q1,March,3,2022-03
85,26-03-2022,2022,2022Q1,March,3,2022-03
86,27-03-2022,2022,2022Q1,March,3,2022-03
87,28-03-2022,2022,2022Q1,March,3,2022-03
88,29-03-2022,2022,2022Q1,March,3,2022-03
89,30-03-2022,2022,2022Q1,March,3,2022-03
90,31-03-2022,2022,2022Q1,March,3,2022-03
91,01-04-2022,2022,2022Q2,April,4,2022-04
92,02-04-2022,2022,2022Q2,April,4,2022-04
93,03-04-2022,2022,2022Q2,April,4,2022-04
94,04-04-2022,2022,2022Q2,April,4,2022-04
95,05-04-2022,2022,2022Q2,April,4,2022-04
96,06-04-2022,2022,2022Q2,April,4,2022-04
97,07-04-2022,2022,2022Q2,April,4,2022-04
98,08-04-2022,2022,2022Q2,April,4,2022-04
99,09-04-2022,2022,2022Q2,April,4,2022-04
100,10-04-2022,2022,2022Q2,April,4,2022-04
101,11-04-2022,2022,2022Q2,April,4,2022-04
102,12-04-2022,2022,2022Q2,April,4,2022-04
103,13-04-2022,2022,2022Q2,April,4,2022-04
104,14-04-2022,2022,2022Q2,April,4,2022-04
105,15-04-2022,2022,2022Q2,April,4,2022-04
106,16-04-2022,2022,2022Q2,April,4,2022-04
107,17-04-2022,2022,2022Q2,April,4,2022-04
108,18-04-2022,2022,2022Q2,April,4,2022-04
109,19-04-2022,2022,2022Q2,April,4,2022-04
110,20-04-2022,2022,2022Q2,April,4,2022-04
111,21-04-2022,2022,2022Q2,April,4,2022-04
112,22-04-2022,2022,2022Q2,April,4,2022-04
113,23-04-2022,2022,2022Q2,April,4,2022-04
114,24-04-2022,2022,2022Q2,April,4,2022-04
115,25-04-2022,2022,2022Q2,April,4,2022-04
116,26-04-2022,2022,2022Q2,April,4,2022-04
117,27-04-2022,2022,2022Q2,April,4,2022-04
118,28-04-2022,2022,2022Q2,April,4,2022-04
119,29-04-2022,2022,2022Q2,April,4,2022-04
120,30-04-2022,2022,2022Q2,April,4,2022-04
121,01-05-2022,2022,2022Q2,May,5,2022-05
122,02-05-2022,2022,2022Q2,May,5,2022-05
123,03-05-2022,2022,2022Q2,May,5,2022-05
124,04-05-2022,2022,2022Q2,May,5,2022-05
125,05-05-2022,2022,2022Q2,May,5,2022-05
126,06-05-2022,2022,2022Q2,May,5,2022-05
127,07-05-2022,2022,2022Q2,May,5,2022-05
128,08-05-2022,2022,2022Q2,May,5,2022-05
129,09-05-2022,2022,2022Q2,May,5,2022-05
130,10-05-2022,2022,2022Q2,May,5,2022-05
131,11-05-2022,2022,2022Q2,May,5,2022-05
132,12-05-2022,2022,2022Q2,May,5,2022-05
133,13-05-2022,2022,2022Q2,May,5,2022-05
134,14-05-2022,2022,2022Q2,May,5,2022-05
135,15-05-2022,2022,2022Q2,May,5,2022-05
136,16-05-2022,2022,2022Q2,May,5,2022-05
137,17-05-2022,2022,2022Q2,May,5,2022-05
138,18-05-2022,2022,2022Q2,May,5,2022-05
139,19-05-2022,2022,2022Q2,May,5,2022-05
140,20-05-2022,2022,2022Q2,May,5,2022-05
141,21-05-2022,2022,2022Q2,May,5,2022-05
142,22-05-2022,2022,2022Q2,May,5,2022-05
143,23-05-2022,2022,2022Q2,May,5,2022-05
144,24-05-2022,2022,2022Q2,May,5,2022-05
145,25-05-2022,2022,2022Q2,May,5,2022-05
146,26-05-2022,2022,2022Q2,May,5,2022-05
147,27-05-2022,2022,2022Q2,May,5,2022-05
148,28-05-2022,2022,2022Q2,May,5,2022-05
149,29-05-2022,2022,2022Q2,May,5,2022-05
150,30-05-2022,2022,2022Q2,May,5,2022-05
151,31-05-2022,2022,2022Q2,May,5,2022-05
152,01-06-2022,2022,2022Q2,June,6,2022-06
153,02-06-2022,2022,2022Q2,June,6,2022-06
154,03-06-2022,2022,2022Q2,June,6,2022-06
155,04-06-2022,2022,2022Q2,June,6,2022-06
156,05-06-2022,2022,2022Q2,June,6,2022-06
157,06-06-2022,2022,2022Q2,June,6,2022-06
158,07-06-2022,2022,2022Q2,June,6,2022-06
159,08-06-2022,2022,2022Q2,June,6,2022-06
160,09-06-2022,2022,2022Q2,June,6,2022-06
161,10-06-2022,2022,2022Q2,June,6,2022-06
162,11-06-2022,2022,2022Q2,June,6,2022-06
163,12-06-2022,2022,2022Q2,June,6,2022-06
164,13-06-2022,2022,2022Q2,June,6,2022-06
165,14-06-2022,2022,2022Q2,June,6,2022-06
166,15-06-2022,2022,2022Q2,June,6,2022-06
167,16-06-2022,2022,2022Q2,June,6,2022-06
168,17-06-2022,2022,2022Q2,June,6,2022-06
169,18-06-2022,2022,2022Q2,June,6,2022-06
170,19-06-2022,2022,2022Q2,June,6,2022-06
171,20-06-2022,2022,2022Q2,June,6,2022-06
172,21-06-2022,2022,2022Q2,June,6,2022-06
173,22-06-2022,2022,2022Q2,June,6,2022-06
174,23-06-2022,2022,2022Q2,June,6,2022-06
175,24-06-2022,2022,2022Q2,June,6,2022-06
176,25-06-2022,2022,2022Q2,June,6,2022-06
177,26-06-2022,2022,2022Q2,June,6,2022-06
178,27-06-2022,2022,2022Q2,June,6,2022-06
179,28-06-2022,2022,2022Q2,June,6,2022-06
180,29-06-2022,2022,2022Q2,June,6,2022-06
181,30-06-2022,2022,2022Q2,June,6,2022-06
182,01-07-2022,2022,2022Q3,July,7,2022-07
183,02-07-2022,2022,2022Q3,July,7,2022-07
184,03-07-2022,2022,2022Q3,July,7,2022-07
185,04-07-2022,2022,2022Q3,July,7,2022-07
186,05-07-2022,2022,2022Q3,July,7,2022-07
187,06-07-2022,2022,2022Q3,July,7,2022-07
188,07-07-2022,2022,2022Q3,July,7,2022-07
189,08-07-2022,2022,2022Q3,July,7,2022-07
190,09-07-2022,2022,2022Q3,July,7,2022-07
191,10-07-2022,2022,2022Q3,July,7,2022-07
192,11-07-2022,2022,2022Q3,July,7,2022-07
193,12-07-2022,2022,2022Q3,July,7,2022-07
194,13-07-2022,2022,2022Q3,July,7,2022-07
195,14-07-2022,2022,2022Q3,July,7,2022-07
196,15-07-2022,2022,2022Q3,July,7,2022-07
197,16-07-2022,2022,2022Q3,July,7,2022-07
198,17-07-2022,2022,2022Q3,July,7,2022-07
199,18-07-2022,2022,2022Q3,July,7,2022-07
200,19-07-2022,2022,2022Q3,July,7,2022-07
201,20-07-2022,2022,2022Q3,July,7,2022-07
202,21-07-2022,2022,2022Q3,July,7,2022-07
203,22-07-2022,2022,2022Q3,July,7,2022-07
204,23-07-2022,2022,2022Q3,July,7,2022-07
205,24-07-2022,2022,2022Q3,July,7,2022-07
206,25-07-2022,2022,2022Q3,July,7,2022-07
207,26-07-2022,2022,2022Q3,July,7,2022-07
208,27-07-2022,2022,2022Q3,July,7,2022-07
209,28-07-2022,2022,2022Q3,July,7,2022-07
210,29-07-2022,2022,2022Q3,July,7,2022-07
211,30-07-2022,2022,2022Q3,July,7,2022-07
212,31-07-2022,2022,2022Q3,July,7,2022-07
213,01-08-2022,2022,2022Q3,August,8,2022-08
214,02-08-2022,2022,2022Q3,August,8,2022-08
215,03-08-2022,2022,2022Q3,August,8,2022-08
216,04-08-2022,2022,2022Q3,August,8,2022-08
217,05-08-2022,2022,2022Q3,August,8,2022-08
218,06-08-2022,2022,2022Q3,August,8,2022-08
219,07-08-2022,2022,2022Q3,August,8,2022-08
220,08-08-2022,2022,2022Q3,August,8,2022-08
221,09-08-2022,2022,2022Q3,August,8,2022-08
222,10-08-2022,2022,2022Q3,August,8,2022-08
223,11-08-2022,2022,2022Q3,August,8,2022-08
224,12-08-2022,2022,2022Q3,August,8,2022-08
225,13-08-2022,2022,2022Q3,August,8,2022-08
226,14-08-2022,2022,2022Q3,August,8,2022-08
227,15-08-2022,2022,2022Q3,August,8,2022-08
228,16-08-2022,2022,2022Q3,August,8,2022-08
229,17-08-2022,2022,2022Q3,August,8,2022-08
230,18-08-2022,2022,2022Q3,August,8,2022-08
231,19-08-2022,2022,2022Q3,August,8,2022-08
232,20-08-2022,2022,2022Q3,August,8,2022-08
233,21-08-2022,2022,2022Q3,August,8,2022-08
234,22-08-2022,2022,2022Q3,August,8,2022-08
235,23-08-2022,2022,2022Q3,August,8,2022-08
236,24-08-2022,2022,2022Q3,August,8,2022-08
237,25-08-2022,2022,2022Q3,August,8,2022-08
238,26-08-2022,2022,2022Q3,August,8,2022-08
239,27-08-2022,2022,2022Q3,August,8,2022-08
240,28-08-2022,2022,2022Q3,August,8,2022-08
241,29-08-2022,2022,2022Q3,August,8,2022-08
242,30-08-2022,2022,2022Q3,August,8,2022-08
243,31-08-2022,2022,2022Q3,August,8,2022-08
244,01-09-2022,2022,2022Q3,September,9,2022-09
245,02-09-2022,2022,2022Q3,September,9,2022-09
246,03-09-2022,2022,2022Q3,September,9,2022-09
247,04-09-2022,2022,2022Q3,September,9,2022-09
248,05-09-2022,2022,2022Q3,September,9,2022-09
249,06-09-2022,2022,2022Q3,September,9,2022-09
250,07-09-2022,2022,2022Q3,September,9,2022-09
251,08-09-2022,2022,2022Q3,September,9,2022-09
252,09-09-2022,2022,2022Q3,September,9,2022-09
