Transaction_ID,Date_ID,City_ID,Area_ID,Property_ID,Area_SqFt,Days_on_Market,Listing_Status,Demand_Score,Supply_Score,Risk_Score_Base,Price_per_SqFt,Property_Price,Rental_Income_Monthly
1,990,2,37,5,4044,84,Sold,80,62,17,18271,7543204,206773
2,403,5,35,4,3391,45,Active,30,94,44,16531,5197119,116542
3,22,5,39,5,4752,98,Sold,40,94,57,17944,3599459,144290
4,204,5,21,1,3578,143,Sold,40,98,57,15034,4358235,123083
5,48,4,14,2,3658,32,Active,74,59,16,16128,3711971,291486
6,785,4,19,5,4225,162,Active,72,57,22,18080,6714221,270389
7,525,4,10,1,3057,194,Sold,76,53,18,16666,5688118,233645
8,350,5,28,1,3195,192,Sold,35,96,41,17446,4984248,98259
9,108,4,8,5,3102,19,Active,76,56,18,16832,3960846,194872
10,394,4,36,3,3061,75,Sold,65,60,23,17161,5162916,236447
11,845,3,32,1,4747,145,Sold,64,71,26,18237,6963546,322036
12,623,3,19,1,4422,56,Sold,62,73,26,15772,6084608,216728
13,655,2,35,2,4962,171,Sold,76,55,13,17805,6220972,335364
14,637,1,29,2,3813,167,Sold,90,21,10,17060,6142214,343208
15,277,4,22,5,4827,159,Sold,76,51,20,18198,4666066,282577
16,310,8,12,2,4569,100,Sold,42,89,45,15315,4809630,153802
17,828,2,17,4,3845,121,Active,72,63,19,15423,6896939,276902
18,36,1,13,2,3543,197,Sold,99,25,6,15102,3662916,335363
19,261,5,8,2,4196,109,Sold,30,99,47,15628,4597659,131008
20,457,1,32,2,4914,12,Active,88,31,5,15180,5400990,468894
21,1008,4,11,2,4767,130,Sold,75,51,21,15110,7618361,322428
22,974,6,29,5,4932,50,Active,42,93,38,18370,7480198,150781
23,435,7,29,1,3395,47,Sold,43,93,55,15119,5317731,106297
24,40,2,35,4,3662,173,Sold,72,59,15,15298,3674167,246661
25,461,5,15,5,4872,140,Sold,35,87,43,18404,5415841,158593
26,848,4,11,2,4616,58,Active,71,66,17,15227,6977047,343477
27,567,6,14,5,4898,195,Sold,43,96,55,15617,5857785,158078
28,679,5,4,3,4638,146,Sold,36,95,55,16037,6305580,153314
29,374,6,29,3,4270,176,Sold,33,84,53,16773,5071107,134727
30,711,6,23,5,3528,36,Sold,39,96,47,18314,6428892,116078
31,45,5,7,1,3084,91,Sold,35,80,58,15723,3700720,95900
32,988,6,3,3,3344,10,Active,34,90,48,15990,7538253,108125
33,648,8,26,3,3744,40,Sold,43,93,40,16094,6187668,133653
34,496,3,7,5,3403,49,Sold,54,72,18,15040,5571557,177696
35,198,1,5,5,3535,174,Sold,89,32,5,15474,4331683,426206
36,101,3,13,3,3969,168,Sold,52,77,27,18217,3921242,237111
37,1002,4,29,4,3099,171,Active,68,51,22,16312,7592259,244144
38,170,8,35,3,4619,77,Sold,39,95,47,17965,4212421,140528
39,30,7,3,5,4031,32,Sold,43,92,56,16581,3638163,142367
40,283,4,13,4,3650,53,Sold,72,50,24,15149,4688118,202982
41,191,6,35,3,3579,98,Sold,32,91,46,17094,4298829,122659
42,727,3,1,4,4543,142,Sold,50,74,19,18130,6490099,219634
43,1037,6,19,1,3210,77,Sold,31,91,47,15418,7744374,111875
44,647,5,25,5,3465,87,Active,37,92,36,16002,6186318,123368
45,444,7,39,3,4788,134,Sold,42,98,56,15620,5354185,163836
46,107,2,3,5,4667,122,Active,80,55,19,17010,3957245,311701
47,498,2,8,5,3235,113,Active,75,62,17,15467,5580558,180761
48,487,2,39,5,3491,90,Sold,84,52,15,15401,5528352,201879
49,530,8,13,3,4174,106,Sold,40,83,43,18034,5710621,135430
